training_seed,steps,cases,avg_waiting_time_fixed,avg_waiting_time_dqn,avg_waiting_time_delta,avg_queue_fixed,avg_queue_dqn,avg_queue_delta,throughput_fixed,throughput_dqn,throughput_delta,max_waiting_time_fixed,max_waiting_time_dqn,max_waiting_time_delta,phase_changes_fixed,phase_changes_dqn,phase_changes_delta,forced_changes_fixed,forced_changes_dqn,forced_changes_delta,not_inserted_fixed,not_inserted_dqn,not_inserted_delta,waiting_improvement_pct,queue_improvement_pct,throughput_change_pct,waiting_case_win_rate,all_primary_better
11,150000,180,20.006498878625962,13.962050045326501,-6.044448833299461,16.463555555555555,13.028555555555554,-3.4350000000000005,173.98333333333332,183.7888888888889,9.805555555555571,95.32222222222222,87.63888888888889,-7.683333333333337,33.0,32.78333333333333,-0.21666666666666856,0.0,5.561111111111111,5.561111111111111,2.861111111111111,0.4888888888888889,-2.3722222222222222,30.212426821751787,20.86426585319764,5.6359165948207135,0.8388888888888889,True
22,150000,180,20.006498878625962,13.528467176492578,-6.478031702133384,16.463555555555555,12.469037037037035,-3.99451851851852,173.98333333333332,187.2277777777778,13.244444444444468,95.32222222222222,87.375,-7.947222222222223,33.0,32.37777777777778,-0.62222222222222,0.0,5.938888888888889,5.938888888888889,2.861111111111111,0.07777777777777778,-2.783333333333333,32.37963694414428,24.262793690215883,7.612478845355572,0.8388888888888889,True
33,150000,180,20.006498878625962,13.833901373555332,-6.17259750507063,16.463555555555555,13.005685185185184,-3.4578703703703706,173.98333333333332,185.68333333333334,11.700000000000017,95.32222222222222,93.60833333333333,-1.7138888888888886,33.0,31.56111111111111,-1.43888888888889,0.0,6.694444444444445,6.694444444444445,2.861111111111111,0.25,-2.611111111111111,30.852962042574845,21.003180987860958,6.724782067247832,0.8388888888888889,True
