#{"t_start": 1789708312.118484, "env_id": "None"}
r,l,t
-136.42075,300,348.782401
-116.997804,300,349.828552
-111.43865,300,351.03762
-111.853646,300,351.8673
-160.358092,300,353.31271
-113.784104,300,354.512518
-130.035784,300,355.915955
-104.942255,300,356.849097
-125.62985,300,357.845855
-114.067234,300,359.249528
-55.800338,300,360.057005
-166.551496,300,361.598304
-104.849192,300,362.698812
-142.982555,300,364.190343
-124.974379,300,365.774213
-129.004246,300,367.578527
-73.503121,300,368.382454
-128.361921,300,369.948604
-132.733659,300,371.442348
-95.938838,300,372.428788
-131.053283,300,373.595721
-129.251288,300,374.447643
-149.304313,300,375.807213
-132.260071,300,377.08115
-75.29395,300,377.99808
-96.952429,300,379.072891
-97.056833,300,379.946629
-96.592287,300,380.777744
-139.166217,300,382.129752
-128.636225,300,383.382141
-128.743383,300,384.608811
-149.054692,300,385.947378
-143.453842,300,387.024421
-129.65785,300,388.194095
-102.400813,300,389.440446
-123.627125,300,390.890193
-100.4497,300,392.093977
-131.398642,300,393.59677
-118.867538,300,395.433639
-107.667263,300,397.165578
-168.003783,300,400.138378
-72.480238,300,401.896876
-92.470996,300,404.193294
-96.600734,300,406.331602
-123.572042,300,408.738153
-120.491071,300,410.760798
-123.126017,300,413.523683
-63.419667,300,415.045686
-78.634405,300,416.96561
-158.908017,300,419.861418
-159.661142,300,422.393864
-129.845683,300,424.986544
-161.687946,300,427.971504
-182.863529,300,430.221616
-155.672621,300,431.298626
-104.452684,300,432.109493
-152.760729,300,433.219607
-86.507575,300,434.320902
-108.141975,300,435.260374
-134.704346,300,436.221425
-96.722209,300,437.32853
-145.249492,300,438.641693
-127.408346,300,439.784888
-100.777804,300,440.823359
-80.203779,300,441.54792
-93.404917,300,442.378622
-118.428663,300,443.536256
-63.456879,300,444.360222
-156.473955,300,445.59121
-132.818554,300,446.988777
-141.201384,300,448.528044
-158.574921,300,450.212041
-127.26395,300,451.327974
-134.0301,300,453.020867
-137.292992,300,454.877318
-71.163238,300,455.910199
-136.239829,300,457.828537
-175.712834,300,459.923686
-95.782829,300,461.335975
-139.752255,300,462.919338
-174.656738,300,464.609826
-147.367038,300,465.919742
-154.454425,300,467.427242
-128.500946,300,468.909644
-164.508625,300,470.40908
-169.469842,300,472.125915
-138.138409,300,473.359958
-90.482171,300,474.306479
-90.107042,300,475.188182
-77.116879,300,476.192578
-145.9862,300,477.309317
-91.661867,300,478.339655
-136.673342,300,479.877002
-107.654509,300,481.275248
-110.254454,300,482.442602
-122.550317,300,483.822677
-138.1291,300,485.0776
-88.258529,300,486.059141
-98.258488,300,487.296731
-151.126904,300,488.974738
-93.345675,300,490.108991
-112.500571,300,491.624925
-165.0476,300,493.09582
-172.472142,300,494.742641
-158.915175,300,496.319238
-127.799604,300,497.909357
-110.719325,300,499.007863
-131.703925,300,500.382815
-60.620733,300,501.291392
-102.110709,300,502.526632
-40.592292,300,503.403324
-139.439588,300,504.790661
-94.985063,300,505.804103
-116.158621,300,507.017434
-90.8726,300,507.995505
-84.259604,300,508.945303
-82.926217,300,509.974329
-133.893004,300,511.182378
-86.662975,300,512.241668
-72.152996,300,513.209068
-150.773271,300,514.775825
-97.68865,300,516.186604
-116.115767,300,517.835349
-156.217779,300,519.362486
-128.30885,300,521.058548
-150.377571,300,522.636733
-141.390329,300,524.174076
-118.803767,300,525.639032
-111.096221,300,527.056542
-133.164575,300,528.672024
-86.547517,300,529.798102
-153.690417,300,531.715477
-100.365517,300,533.400674
-129.534913,300,535.034153
-77.013963,300,536.716786
-146.577634,300,539.37375
-115.680684,300,541.589447
-155.933163,300,543.791133
-118.426184,300,545.355192
-97.545563,300,547.267474
-133.074438,300,549.559709
-78.405975,300,550.9382
-146.188675,300,552.981907
-171.846267,300,555.390455
-129.508746,300,557.275983
-87.153788,300,558.751921
-199.427655,300,561.422551
-117.981717,300,563.560236
-82.890854,300,565.10164
-116.744784,300,566.651581
-126.565213,300,568.547304
-125.692913,300,570.39465
-115.258979,300,571.838527
-123.035442,300,573.604083
-129.240304,300,575.371494
-181.22055,300,577.713119
-71.629346,300,579.281733
-90.4198,300,580.9994
-163.690546,300,583.198858
-143.219659,300,585.003402
-87.28865,300,586.462359
-99.764279,300,588.170367
-110.418804,300,589.853643
-149.769092,300,591.582467
-123.807446,300,593.111953
-170.328313,300,595.223439
-121.412546,300,596.836216
-117.864117,300,598.521683
-138.844354,300,600.752932
-107.966225,300,602.508383
-94.250496,300,604.167477
-63.755742,300,605.419373
-123.050808,300,607.036724
-139.070896,300,608.685766
-66.821692,300,609.82081
-72.932317,300,611.020102
-138.101492,300,612.73241
-82.148392,300,613.964522
-135.776455,300,615.475845
-148.646813,300,617.384968
-121.196017,300,619.379403
-67.603513,300,620.707444
-129.165813,300,622.431902
-127.128988,300,624.184968
-94.591792,300,625.930251
-135.708846,300,627.628371
-137.429167,300,629.305799
-121.826763,300,631.028015
-116.564617,300,632.90192
-87.340592,300,634.490746
-101.068025,300,636.035998
-169.609513,300,637.852111
-28.146096,300,638.866491
-135.7597,300,641.183202
-120.920688,300,642.880988
-85.934167,300,644.280827
-46.045309,300,645.66975
-147.688804,300,647.867302
-73.227442,300,649.847299
-143.216729,300,652.393547
-136.772405,300,654.863602
-80.096663,300,656.659968
-156.145521,300,659.39316
-93.929929,300,661.048777
-113.700738,300,662.856769
-155.075155,300,665.283409
-100.448463,300,666.963049
-106.588975,300,668.632829
-73.355329,300,669.76963
-169.003896,300,672.301854
-175.513829,300,674.485373
-120.768992,300,676.334694
-173.651488,300,678.84443
-161.0465,300,681.468075
-99.853388,300,683.067276
-133.083204,300,684.891334
-153.326071,300,687.062029
-92.313463,300,688.559253
-171.181717,300,690.609668
-134.417038,300,693.232683
-139.255417,300,695.028276
-163.259075,300,696.911386
-152.813746,300,699.099257
-135.918575,300,701.247339
-156.19955,300,703.687321
-94.7704,300,705.302497
-116.018059,300,706.677655
-149.19368,300,708.942476
-131.615288,300,710.698594
-163.758729,300,712.717058
-133.263163,300,714.770225
-134.372513,300,716.810457
-120.753471,300,718.822582
-122.471408,300,721.046755
-126.91773,300,723.147105
-120.706842,300,725.067895
-87.314367,300,726.677996
-128.04915,300,728.755811
-140.854254,300,730.811716
-108.205155,300,732.708382
-154.508879,300,734.850305
-120.901821,300,736.617377
-136.975821,300,738.477386
-131.836209,300,740.463948
-132.555558,300,742.242547
-128.400459,300,744.092406
-119.3765,300,745.828197
-135.516342,300,747.624704
-114.667925,300,749.861788
-103.467809,300,751.491906
-111.085608,300,753.132028
-147.571559,300,754.744652
-90.433838,300,756.201793
-129.298179,300,757.923016
