,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward,unfinished,not_inserted
mean,8.076787021464506,15.733333333333333,5.427111111111111,13.566666666666666,-3.966666666666667,-11.4,-15.740203298796233,5.066666666666666,-1.1
std,4.106889776199942,39.66078870773425,3.948194503057304,10.421077227173429,10.01889020398668,2.2833731853221617,21.982269167255385,9.062744249582094,2.928457284811496
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
