#{"t_start": 1789708854.2289236, "env_id": "None"}
r,l,t
-150.726425,300,4.275562
-211.789434,300,6.278768
-119.517804,300,7.170046
-172.657975,300,8.478563
-140.399275,300,9.59083
-238.344458,300,11.090436
-161.899938,300,12.452875
-147.132263,300,13.443701
-190.600021,300,14.777593
-192.026479,300,16.124852
-216.956275,300,17.564345
-188.292679,300,18.810794
-187.676687,300,20.421596
-190.529571,300,21.87866
-176.788792,300,23.178232
-155.956025,300,24.128159
-190.379775,300,25.775704
-164.229583,300,26.962081
-163.333388,300,28.417906
-161.474109,300,29.76085
-192.714767,300,31.045268
-123.715429,300,32.231252
-160.671104,300,33.60272
-183.839317,300,34.781367
-198.817804,300,36.473888
-130.643796,300,37.745444
-218.167309,300,39.858303
-198.265029,300,41.540203
-146.129934,300,42.992941
-211.610829,300,44.877655
-168.48575,300,46.760138
-142.847117,300,48.031006
-214.833271,300,49.658963
-222.759071,300,51.89256
-146.574658,300,53.094406
-124.167525,300,54.158365
-206.966337,300,55.825722
-176.743821,300,57.459915
-157.246871,300,59.2675
-223.958217,300,62.119332
-133.302063,300,63.363098
-167.287908,300,64.733693
-117.336692,300,65.876823
-188.397563,300,67.403794
-190.333959,300,69.359751
-211.693988,300,71.094281
-111.967196,300,72.074742
-195.049888,300,74.02507
-146.365104,300,75.251818
-193.290762,300,76.921626
-176.248367,300,78.61815
-180.760192,300,80.142215
-253.836171,300,82.381712
-228.807046,300,84.371383
-215.588021,300,86.274255
-184.429721,300,87.792134
-119.458117,300,88.816332
-182.856763,300,90.490964
-146.6872,300,91.964835
-225.523213,300,94.506064
-207.565613,300,96.166019
-175.589358,300,97.865233
-125.396433,300,99.167672
-177.360042,300,100.778282
-163.024675,300,102.356696
-201.928938,300,104.605822
-137.651621,300,106.489171
-232.405371,300,108.640675
-214.339942,300,110.72852
-187.616567,300,113.286535
-137.948413,300,115.038137
-175.828029,300,117.110224
-168.6498,300,119.156817
-146.516771,300,121.052839
-127.471896,300,122.457639
-106.1817,300,123.549958
-140.816142,300,124.744218
-195.037658,300,126.739835
-114.396854,300,127.800683
-215.88085,300,129.574756
-165.850254,300,131.106823
-172.913625,300,133.022293
-113.250125,300,134.153573
-190.624154,300,135.838868
-202.309979,300,137.857748
-145.446654,300,139.230242
-179.431917,300,140.722304
-192.193567,300,142.588509
-199.242421,300,144.971937
-179.723913,300,146.549344
-172.860034,300,148.079901
-189.107367,300,150.017991
-199.662967,300,151.79346
-185.602667,300,153.886424
-181.091075,300,155.488611
-123.651388,300,156.605447
-210.294646,300,158.866012
-171.215854,300,160.624254
-136.720483,300,162.272085
-176.563788,300,164.117226
-182.706517,300,166.085815
-202.741829,300,168.12441
-190.2976,300,170.04778
-206.387608,300,171.67018
-163.072238,300,173.378019
-163.746771,300,175.107107
-156.794133,300,176.811331
-199.780608,300,178.976228
-169.193954,300,180.48307
-178.8472,300,182.417976
-196.444459,300,184.269845
-207.600304,300,186.274043
-162.824263,300,188.00304
-187.516442,300,190.122863
-177.269738,300,191.919693
-175.34973,300,193.754447
-165.773867,300,195.548027
-188.041971,300,197.424357
-142.189754,300,198.936506
-123.624067,300,200.080209
-114.925838,300,201.207091
-132.597592,300,202.638342
-123.463438,300,203.885066
-176.968179,300,205.627208
-214.626896,300,207.958211
-179.094713,300,210.09014
-134.088134,300,211.650077
-149.084167,300,212.93474
-143.289275,300,214.489472
-195.341709,300,216.264551
-185.141808,300,217.836059
-196.427171,300,219.361222
-147.313213,300,221.07545
-181.007346,300,223.501013
-135.709975,300,225.741876
-195.68858,300,228.297223
-185.714479,300,230.317865
-220.967829,300,232.717426
-203.374034,300,235.042019
-160.860996,300,236.493132
-160.810455,300,238.418717
-162.210088,300,240.13322
-152.074425,300,242.010731
-160.212537,300,244.001124
-184.743963,300,246.608938
-155.148471,300,248.731571
-155.8924,300,250.799605
-188.367109,300,252.738692
-149.629558,300,254.489508
-144.156479,300,256.264493
-179.611109,300,258.129153
-160.699542,300,260.389589
-170.344375,300,262.712092
-209.728705,300,264.958818
-170.091488,300,266.628227
-129.682979,300,267.799428
-149.905459,300,269.731391
-197.935279,300,271.599612
-119.322525,300,272.816108
-169.278629,300,274.28153
-111.301392,300,275.746913
-159.424684,300,277.505224
-168.303267,300,279.605544
-136.216446,300,281.448889
-132.9341,300,283.53432
-177.623762,300,285.773426
-176.800654,300,287.84169
-167.900604,300,289.85322
-179.158213,300,291.992721
-181.842684,300,293.816028
-188.702954,300,295.97173
-198.198263,300,298.366159
-152.338108,300,300.047069
-197.517638,300,302.133376
-126.023359,300,303.754129
-206.450726,300,306.150437
-126.885334,300,307.601362
-215.195763,300,310.090037
-108.178196,300,311.557461
-177.048996,300,313.565088
-177.869534,300,315.489537
-157.790246,300,317.478816
-131.900125,300,319.248438
-157.557075,300,321.188483
-193.938942,300,323.438998
-189.135688,300,325.406864
-109.079021,300,326.784284
-130.039021,300,328.490278
-209.894104,300,330.596372
-150.391929,300,332.428823
-183.258125,300,334.926479
-159.19185,300,337.195493
-166.873105,300,339.608348
-159.840246,300,342.046826
-140.133784,300,344.317205
-147.606263,300,346.641597
-182.591242,300,349.044934
-177.332113,300,351.530356
-104.537,300,353.218705
-165.626704,300,354.960808
-188.707084,300,357.280979
-70.207317,300,358.694813
-166.646417,300,361.088945
-154.78935,300,363.873482
-173.827008,300,366.168099
