traffic_scenario,seed,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward,unfinished,not_inserted
balanced,4001,-4.945783132530121,-3.5,-2.7366666666666664,-8.0,-2.0,1.0,11.804575101390949,2.0,0.0
ew_heavy,4001,-12.13849765258216,-28.0,-8.618333333333332,-21.0,19.0,-2.0,30.709324985407846,-19.0,0.0
heavy,4001,-0.6686046511627914,65.0,-0.9583333333333357,13.0,24.0,-5.0,5.666941860867581,-24.0,0.0
left_heavy,4001,-12.565107245397737,23.5,-6.5600000000000005,-8.0,25.0,-1.0,17.020424913990396,1.0,-26.0
low,4001,0.3428571428571434,32.0,0.040000000000000036,-1.0,-1.0,-7.0,0.33893331079088895,1.0,0.0
ns_heavy,4001,-15.665876777251185,-58.0,-11.02,-35.0,30.0,1.0,43.56163329584886,-30.0,0.0
