,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward,unfinished,not_inserted
mean,-7.6068353860111415,5.166666666666667,-4.975555555555556,-10.0,15.833333333333334,-2.1666666666666665,18.183638911382754,-11.5,-4.333333333333333
std,6.759976730801131,44.27489883293542,4.441218259625351,16.516658257650064,13.876839217439493,3.250640962435973,16.236269001989747,14.48792600754159,10.61445555206044
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
