controller,avg_waiting_time_mean,avg_waiting_time_std,avg_waiting_time_count,max_waiting_time_mean,max_waiting_time_std,max_waiting_time_count,avg_queue_mean,avg_queue_std,avg_queue_count,max_queue_mean,max_queue_std,max_queue_count,throughput_mean,throughput_std,throughput_count,phase_changes_mean,phase_changes_std,phase_changes_count,episode_reward_mean,episode_reward_std,episode_reward_count,unfinished_mean,unfinished_std,unfinished_count,not_inserted_mean,not_inserted_std,not_inserted_count
dqn,13.960774935782469,7.900435989679373,6,105.66666666666667,50.41097764045712,6,12.234722222222222,14.656178273140446,6,29.166666666666668,34.69534070544152,6,183.5,97.0644116038417,6,30.833333333333332,3.2506409624359733,6,-58.24987476958401,49.43750056307559,6,28.5,34.022051672408,6,0.0,0.0,6
fixed,21.567610321793612,8.549001058807656,6,100.5,44.17125762302903,6,17.21027777777778,14.064403033374193,6,39.166666666666664,27.51302721742314,6,167.66666666666666,88.51365243094801,6,33.0,0.0,6,-76.43351368096675,48.9786241310321,6,40.0,41.90465367951393,6,4.333333333333333,10.614455552060438,6
