#{"t_start": 1789709340.635321, "env_id": "None"}
r,l,t
-168.165704,300,565.22148
-108.994438,300,567.900137
-46.31303,300,569.66876
-95.527414,300,572.246693
-47.829488,300,574.297576
-115.484838,300,576.822665
-75.075672,300,578.809822
-152.831138,300,581.489174
-122.339276,300,583.826109
-142.072221,300,586.409099
-114.674192,300,588.731013
-36.4315,300,590.409562
-28.885142,300,592.136646
-84.258484,300,594.117469
-104.670718,300,596.077902
-84.48483,300,598.102611
-111.486172,300,600.297721
-116.580493,300,602.712714
-51.420776,300,604.46405
-31.251746,300,606.106571
-172.106272,300,608.975665
-61.604921,300,610.687136
-82.524688,300,612.666488
-73.626059,300,614.844511
-59.048359,300,616.956449
-103.557351,300,619.382867
-65.433651,300,621.303343
-119.515292,300,623.938911
-107.920889,300,626.303679
-79.741651,300,628.443096
-172.986622,300,631.623857
-93.282009,300,634.017453
-56.956934,300,636.225466
-151.01143,300,639.471854
-135.620009,300,642.387748
-45.019255,300,644.596059
-103.49463,300,647.029237
-98.733163,300,649.276783
-21.975746,300,650.750447
-118.999309,300,653.258214
-83.523501,300,655.114372
-121.059329,300,657.636074
-120.115284,300,660.338667
-104.994988,300,662.920288
-57.971976,300,664.833015
-76.166139,300,666.765781
-135.996443,300,669.34082
-65.665759,300,671.19768
-29.753763,300,672.800423
-50.930588,300,674.577811
-66.639326,300,676.634813
-73.021972,300,678.710954
-130.500067,300,681.55162
-115.912413,300,684.033787
-106.305305,300,686.304406
-139.098163,300,688.793784
-36.57428,300,690.237657
-95.191526,300,692.812329
-133.203784,300,695.693291
-110.679847,300,698.080892
-150.532814,300,701.015668
-36.317888,300,702.614188
-93.761617,300,704.638574
-83.661563,300,706.792792
-104.432684,300,709.032231
-53.687984,300,710.917258
-69.587018,300,712.859164
-63.745505,300,714.759055
-39.711755,300,716.25439
-112.739939,300,718.619264
-35.180709,300,720.188685
-63.735172,300,722.036766
-123.005734,300,724.649015
-51.909938,300,726.363033
-56.807717,300,728.689687
-98.521643,300,731.353682
-147.468051,300,734.283736
-98.822759,300,736.724605
-77.348451,300,738.716071
-74.343343,300,740.683096
-109.868397,300,743.005347
-60.333997,300,744.69694
-66.214426,300,746.477747
-88.123084,300,748.330325
-98.846667,300,750.489061
-101.696326,300,752.679426
-59.683384,300,754.561388
-104.054813,300,756.669636
-53.45118,300,758.383763
-46.522884,300,759.952254
