episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,19.77304964539007,100.0,9.293333333333333,27,128,-83.64043346411633,141,13,0,1,0,0,300.0,-8.712500176625326,-3.7664749957024464,-59.761458291788585,-11.399999999999991,57,0,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,20.666666666666668,124.5,10.953333333333333,28,138,-87.46460854887265,159,21,0,2,0,0,300.0,-10.26875021820888,-4.7312750002951365,-61.26458333036862,-11.199999999999992,56,0,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,18.320588235294117,94.0,10.381666666666666,23,151,-78.49411260217387,170,19,0,1,0,0,300.0,-9.732812678208575,-3.5269249954675614,-53.83437492849771,-11.399999999999991,57,0,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,14.018796992481203,78.0,6.215,18,120,-51.79205841261499,133,13,0,1,0,0,300.0,-5.82656261313241,-1.4509125012678858,-33.11458329821471,-11.399999999999991,57,0,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,19.94413407821229,140.5,11.9,29,154,-96.93537935002745,179,25,0,2,0,0,300.0,-11.15625024761539,-4.665587506914014,-69.7135415954981,-11.399999999999991,57,0,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,18.228021978021978,91.0,11.058333333333334,27,148,-88.28962927468677,182,34,0,1,0,0,300.0,-10.36718770954758,-5.174525004309547,-61.34791656082962,-11.399999999999991,57,0,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,27.475336322869953,129.5,20.423333333333332,46,151,-118.49440857577798,223,72,0,2,0,0,300.0,-19.146875179954804,-11.839200006897594,-76.10833338892553,-11.399999999999991,57,0,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,26.44517543859649,112.0,20.098333333333333,50,153,-119.31412109216978,228,75,0,1,0,0,300.0,-18.842187745380215,-11.666725018213763,-77.60520832857583,-11.199999999999992,56,0,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,20.08542713567839,94.0,13.323333333333334,41,146,-80.894879371336,199,53,0,1,0,0,300.0,-12.490625168313272,-5.081337503984832,-52.12291669903789,-11.199999999999992,56,0,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,21.3875,110.0,17.11,40,162,-98.3279084855334,240,78,0,2,0,0,300.0,-16.0406252280809,-8.450824998143801,-62.63645825930871,-11.199999999999992,56,0,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
