model_index,traffic_scenario,avg_waiting_time,avg_queue,throughput,max_waiting_time,phase_changes,forced_changes,not_inserted
0,balanced,6.937037011557974,3.7648888888888887,159.43333333333334,52.483333333333334,36.1,2.8666666666666667,0.0
0,ew_heavy,9.874211534567468,7.1947777777777775,209.73333333333332,97.1,34.86666666666667,5.066666666666666,0.0
0,heavy,33.69276393602377,47.96488888888889,305.73333333333335,171.16666666666666,30.9,7.7,0.13333333333333333
0,left_heavy,16.325032271588285,11.026166666666667,174.03333333333333,83.95,35.7,4.533333333333333,2.8
0,low,7.151782505868912,0.963388888888889,39.56666666666667,42.18333333333333,25.4,8.033333333333333,0.0
0,ns_heavy,9.791473012352604,7.2572222222222225,214.23333333333332,78.95,33.733333333333334,5.166666666666667,0.0
1,balanced,7.430635530455979,4.032444444444445,159.0,51.46666666666667,36.166666666666664,3.2666666666666666,0.0
1,ew_heavy,8.489042130365645,6.198333333333333,210.3,73.18333333333334,35.0,4.1,0.0
1,heavy,31.86293944423809,45.35916666666667,322.3333333333333,162.9,27.633333333333333,7.866666666666666,0.13333333333333333
1,left_heavy,15.186083520685399,10.431222222222223,180.56666666666666,99.88333333333334,32.5,6.166666666666667,0.3333333333333333
1,low,7.7246564168181076,1.0398888888888889,39.333333333333336,41.9,28.8,8.433333333333334,0.0
1,ns_heavy,10.477446016392246,7.753166666666667,211.83333333333334,94.91666666666667,34.166666666666664,5.8,0.0
2,balanced,7.6761943062989575,4.168111111111111,159.36666666666667,61.93333333333333,35.7,3.6333333333333333,0.0
2,ew_heavy,10.360046364541402,7.558000000000001,209.76666666666668,95.16666666666667,31.033333333333335,6.8,0.0
2,heavy,33.27762125392509,47.38983333333333,315.8666666666667,184.73333333333332,27.233333333333334,8.866666666666667,0.2
2,left_heavy,15.690379343941238,10.71861111111111,176.3,94.21666666666667,33.1,5.433333333333334,1.3
2,low,6.0210330722836005,0.8096111111111112,39.8,36.333333333333336,28.6,9.033333333333333,0.0
2,ns_heavy,9.978133900341705,7.389944444444444,213.0,89.26666666666667,33.7,6.4,0.0
