traffic_scenario,avg_waiting_time,avg_queue,throughput,max_waiting_time,phase_changes,forced_changes,not_inserted
balanced,11.567351535549237,6.284999999999999,157.2,55.916666666666664,33.0,0.0,0.0
ew_heavy,20.41435479816397,14.882166666666667,187.03333333333333,98.86666666666666,33.0,0.0,0.0
heavy,30.95202305394125,44.03927777777778,311.6,125.2,33.0,0.0,0.0
left_heavy,26.84178280498763,16.767666666666667,154.16666666666666,155.95,33.0,0.0,17.166666666666668
low,9.15664793305552,1.2382222222222223,40.06666666666667,28.85,33.0,0.0,0.0
ns_heavy,21.106833146058154,15.568999999999999,193.83333333333334,107.15,33.0,0.0,0.0
