scenario,avg_waiting_time_fixed,avg_waiting_time_dqn,avg_waiting_time_change_pct,avg_queue_fixed,avg_queue_dqn,avg_queue_change_pct,throughput_fixed,throughput_dqn,throughput_change_pct,max_waiting_time_fixed,max_waiting_time_dqn,max_waiting_time_change_pct,not_inserted_fixed,not_inserted_dqn,not_inserted_change_pct
balanced,11.56735153554924,7.347955616104304,-36.476767447394685,6.285,3.9884814814814824,-36.539674121217466,157.2,159.26666666666668,1.3146734520780523,55.916666666666664,55.294444444444444,-1.1127670144063573,0.0,0.0,
ew_heavy,20.414354798163973,9.574433343158173,-53.099505530200354,14.882166666666665,6.9837037037037035,-53.07334032654045,187.03333333333333,209.93333333333334,12.243806808055613,98.86666666666666,88.48333333333333,-10.50236008091705,0.0,0.0,
heavy,30.95202305394125,32.94444154472898,6.4371187864375345,44.03927777777777,46.904629629629625,6.506355227509464,311.6,314.64444444444445,0.977036086150318,125.2,172.93333333333334,38.12566560170394,0.0,0.15555555555555556,
left_heavy,26.841782804987634,15.733831712071638,-41.38306003598227,16.767666666666667,10.725333333333333,-36.035624117845856,154.16666666666666,176.96666666666667,14.78918918918919,155.95,92.68333333333334,-40.568558298599974,17.166666666666668,1.4777777777777779,-91.3915857605178
low,9.15664793305552,6.96582399832354,-23.92604750940681,1.2382222222222223,0.9376296296296297,-24.27614261785116,40.06666666666667,39.56666666666667,-1.2479201331114798,28.85,40.138888888888886,39.129597535143446,0.0,0.0,
ns_heavy,21.10683314605815,10.082350976362182,-52.23181560875165,15.568999999999999,7.466777777777778,-52.0407362208377,193.83333333333334,213.0222222222222,9.899684723416446,107.15,87.71111111111111,-18.141753512728787,0.0,0.0,
