#{"t_start": 1789708854.3192565, "env_id": "None"}
r,l,t
-154.325696,300,440.613154
-153.576104,300,442.658383
-144.391363,300,444.441843
-156.905267,300,446.525798
-184.881717,300,448.959107
-211.640821,300,451.358843
-182.297392,300,453.274791
-136.858583,300,454.968342
-191.557938,300,456.917116
-108.659967,300,458.030117
-141.473171,300,459.640897
-126.123075,300,461.218849
-146.152988,300,462.524439
-104.617954,300,464.01287
-122.0104,300,465.618513
-91.802033,300,467.064008
-174.208963,300,469.074114
-167.236554,300,471.274786
-157.740884,300,473.588852
-227.074992,300,476.729373
-159.410854,300,479.038062
-172.552275,300,481.421682
-176.883125,300,483.9829
-175.321921,300,486.112986
-177.21235,300,488.356466
-133.211742,300,490.429907
-175.480725,300,492.990839
-177.347029,300,495.180421
-147.638588,300,497.223031
-163.330459,300,499.523366
-114.280708,300,501.241652
-132.040938,300,503.19175
-125.880659,300,504.788844
-182.368242,300,506.945632
-96.954721,300,508.648858
-183.665134,300,510.642228
-129.974471,300,512.308997
-115.278371,300,514.290114
-144.211983,300,516.379076
-188.518954,300,519.040923
-169.438963,300,521.396111
-177.304525,300,523.649814
-191.907971,300,526.277464
-166.159954,300,528.26727
-162.854509,300,530.187228
-161.336084,300,532.12081
-181.582954,300,534.561194
-183.370563,300,536.922812
-127.125338,300,538.683614
-181.2222,300,541.054235
-127.109196,300,542.966462
-185.559117,300,545.446591
-169.058721,300,547.794052
-196.617996,300,550.696629
-151.048775,300,552.495865
-136.821534,300,554.387756
-144.616154,300,556.243452
-152.197342,300,558.218366
-156.339663,300,560.465922
-152.874909,300,562.593742
-144.689038,300,564.450305
-144.624838,300,566.500058
-113.237854,300,568.006142
-152.788621,300,570.080318
-153.216925,300,572.498539
-157.004704,300,574.511769
-164.501384,300,576.961544
-154.940804,300,579.37823
-149.252,300,581.347987
-112.576508,300,583.29463
-210.571975,300,586.987276
-115.820496,300,589.168775
-158.126967,300,591.303356
-165.475379,300,594.070395
-163.314638,300,595.828823
-176.168967,300,598.039806
-140.775888,300,599.866018
-170.306638,300,602.13637
-164.749629,300,604.207048
-165.881046,300,606.578356
-167.165629,300,608.91438
-164.887433,300,611.230207
-162.520121,300,613.254457
-131.462021,300,615.137038
-132.992088,300,617.034773
-163.78295,300,619.190815
-159.1056,300,621.415515
-177.032479,300,624.44484
-128.466604,300,626.432977
-121.486225,300,628.368438
-182.041354,300,630.947581
-160.66505,300,633.715461
-157.788184,300,635.894781
-165.155946,300,638.716288
-175.500809,300,641.495214
-91.093204,300,643.145505
-124.561434,300,645.433821
-189.752188,300,648.059854
-159.55085,300,650.574048
-148.872159,300,653.601092
-170.873629,300,656.142601
-113.804421,300,657.835202
-209.210509,300,660.555119
-163.656533,300,663.26496
-132.568888,300,665.410829
-121.0856,300,667.729217
-138.933079,300,669.759995
-184.292696,300,672.585877
-81.388667,300,674.254583
-211.772138,300,677.489395
-134.014067,300,679.795165
-187.320417,300,682.361688
-97.135146,300,684.287269
-158.556471,300,686.918527
-159.962621,300,689.087051
-137.387075,300,691.190676
-128.266542,300,692.934842
-158.129396,300,695.107164
-137.660629,300,696.98143
-101.034788,300,698.784538
-135.213413,300,700.891642
-158.211567,300,703.325355
-185.5381,300,706.196028
-120.137188,300,708.055578
-191.974063,300,711.019105
-141.057046,300,713.111942
-214.723138,300,716.000303
-139.9978,300,718.318546
-171.350409,300,720.476282
-145.528946,300,722.804354
-179.005892,300,725.109733
-130.399783,300,727.053951
-154.333771,300,729.079785
-172.782879,300,731.777961
-178.253592,300,733.977504
-162.80325,300,736.35745
-148.199492,300,738.685527
-101.860829,300,740.261316
-137.235563,300,742.362479
-127.672896,300,744.052336
-204.492025,300,747.102606
-158.82505,300,749.619409
-119.588733,300,751.627
-136.341842,300,753.743688
-177.9039,300,755.846537
-170.28138,300,757.944598
-121.672454,300,760.159917
-151.958842,300,762.324843
-86.156713,300,763.962256
-133.323625,300,765.677216
-222.080713,300,768.386519
-221.99115,300,771.666281
-117.231833,300,773.451324
-138.385904,300,775.268137
-174.392054,300,777.682548
-142.643721,300,779.543992
-145.798308,300,781.552042
-129.107683,300,783.471587
-153.596313,300,785.106802
-151.865417,300,786.754722
-150.889229,300,788.69857
-186.42125,300,791.304112
-126.101158,300,793.004323
-128.340642,300,794.583466
-188.347442,300,797.549273
-157.352246,300,799.807881
-192.045675,300,802.382505
-100.443763,300,803.675435
-140.177359,300,805.616409
-196.610588,300,807.535556
-155.773092,300,809.458111
-118.342629,300,811.116675
-208.576513,300,813.557952
-141.233925,300,815.222957
-146.073805,300,817.099668
-143.11615,300,818.56614
-142.451905,300,821.26892
-191.395334,300,823.754967
-117.805713,300,825.536125
-134.444184,300,827.263688
-143.687459,300,828.812479
-129.159138,300,830.249715
-161.118805,300,832.148674
-112.713646,300,833.929259
-162.5054,300,835.725794
-119.481,300,837.425001
-175.564379,300,839.213785
-141.428084,300,841.12917
-167.672334,300,843.098961
-131.5525,300,844.766379
-132.35555,300,846.67525
-178.656567,300,849.304237
-143.041846,300,851.613622
-169.681467,300,853.748756
-150.317046,300,855.868076
-115.246913,300,857.346349
-194.557246,300,859.76716
-72.254283,300,861.536705
-143.489463,300,864.55244
-128.012084,300,867.30118
-109.152754,300,869.331367
-193.798667,300,872.058912
-100.205383,300,874.177601
-119.362175,300,876.268891
-159.852183,300,879.140319
-149.517184,300,881.493903
-152.141938,300,884.135868
-127.370671,300,886.743488
-120.760192,300,889.007856
-122.265775,300,890.750761
-135.917371,300,892.767333
-187.620725,300,895.32438
-209.354721,300,898.227946
-115.785584,300,900.012653
-180.372884,300,902.884228
-175.596792,300,905.894486
-156.338233,300,907.947205
-191.974184,300,910.577563
-199.572226,300,913.198674
-146.2246,300,915.454417
-81.854621,300,916.94926
-107.159263,300,918.514302
-135.081709,300,921.365215
-147.701959,300,924.969814
-121.725234,300,928.036207
-148.399555,300,930.973826
-158.952013,300,934.75288
-157.0906,300,938.507843
-125.523288,300,941.634965
-186.615475,300,945.267459
-114.287796,300,947.761381
-194.376754,300,950.41638
-113.828971,300,951.858266
-159.869717,300,954.266331
-164.631759,300,955.912972
-156.648021,300,958.038531
-163.765196,300,961.271276
-128.294442,300,965.052927
-182.650817,300,969.62695
-176.899921,300,973.163077
-207.630925,300,978.252236
-161.173484,300,982.791417
-174.568567,300,986.00071
-213.03263,300,989.930928
-162.758875,300,993.067823
-144.082029,300,996.121418
-170.054292,300,999.269059
-145.160742,300,1002.43217
-152.431804,300,1006.035435
-158.524688,300,1009.35405
-163.778188,300,1012.564151
-184.0811,300,1015.922327
-210.263317,300,1020.245677
-180.977742,300,1024.01397
-125.859713,300,1026.292705
-102.023184,300,1028.784158
-192.10938,300,1032.719383
-220.994938,300,1039.266914
-131.150571,300,1041.882593
-173.794863,300,1044.420559
-140.439808,300,1046.800917
-101.001738,300,1048.464848
-112.66115,300,1050.401519
-171.334025,300,1053.289262
-122.161113,300,1055.39757
-152.363733,300,1058.278216
-116.447484,300,1060.515574
-88.610608,300,1062.153509
-105.918984,300,1063.971668
-152.141917,300,1066.225843
-169.668525,300,1068.611262
-90.209529,300,1070.036493
-178.457163,300,1072.70879
-186.241259,300,1075.276024
-198.176196,300,1078.674645
-120.1384,300,1080.550196
-131.64205,300,1082.758181
-115.495004,300,1084.777948
-166.976146,300,1087.043333
-161.021138,300,1089.083091
-148.834171,300,1091.33306
-189.974134,300,1093.766095
-167.867346,300,1095.982737
-167.207721,300,1097.967741
-106.733934,300,1099.938844
-163.182117,300,1102.719709
-134.231142,300,1105.020294
-173.597046,300,1107.480054
-175.991275,300,1110.288516
-135.666788,300,1112.10205
-181.699358,300,1115.008572
-137.6214,300,1116.908896
-129.057417,300,1118.862749
-117.612646,300,1120.996004
-146.408321,300,1123.421223
-139.034954,300,1125.640144
-145.752855,300,1127.936844
-184.05798,300,1131.286992
-112.917854,300,1133.189123
-187.933667,300,1135.874163
-150.331954,300,1138.161622
-143.531267,300,1140.192519
-141.437734,300,1142.207342
-189.558771,300,1145.136145
-148.031567,300,1147.884229
-137.708813,300,1149.963201
-167.775275,300,1152.904838
-202.900942,300,1155.733763
-146.825704,300,1157.835384
-109.3301,300,1159.798211
-148.376433,300,1162.068867
-114.174771,300,1163.956721
-112.870513,300,1165.954178
-145.050284,300,1167.999364
-129.751175,300,1169.822647
-143.795684,300,1172.216561
-181.306255,300,1174.758008
-163.993938,300,1176.984499
-109.909896,300,1178.847135
-181.470225,300,1181.734269
-204.988508,300,1184.720514
-165.847909,300,1187.247669
-171.964863,300,1189.357643
-158.0898,300,1191.492321
-167.081875,300,1193.921144
-181.978109,300,1197.017174
-202.712513,300,1200.095366
-175.440058,300,1202.677204
-163.692696,300,1205.174927
-134.161546,300,1207.012305
-144.285738,300,1209.250188
-184.1882,300,1211.85791
-187.556638,300,1214.696814
-164.449425,300,1217.996065
-124.868629,300,1220.224108
-159.130438,300,1222.867247
-174.499792,300,1225.420646
-89.092846,300,1226.738809
-132.422129,300,1228.627287
-121.72585,300,1230.233981
-157.952275,300,1232.158975
-170.350938,300,1234.342232
-116.569321,300,1236.043992
-111.1506,300,1237.529191
-195.151417,300,1240.080777
-169.127025,300,1242.043792
-144.180225,300,1244.155286
-161.999525,300,1246.985581
-201.055638,300,1250.095207
-98.257225,300,1252.029969
-172.664079,300,1254.397447
-91.589625,300,1256.680329
-130.178142,300,1259.933669
-165.290742,300,1290.066183
-176.788013,300,1618.007806
-151.978775,300,1619.791039
-109.693483,300,1621.652735
-150.090204,300,1624.63262
-132.305996,300,1627.222136
-127.423967,300,1629.502735
-118.448513,300,1631.777574
-109.4273,300,1633.798698
-105.325667,300,1635.844011
-163.121429,300,1638.450958
-159.518209,300,1640.780841
-142.669367,300,1642.800194
-138.901192,300,1645.070651
-85.240217,300,1647.310046
-105.348242,300,1649.191107
-103.180284,300,1651.095317
-55.517325,300,1652.367795
-213.368821,300,1655.478164
-132.851863,300,1657.480527
-100.061688,300,1659.063475
-88.522133,300,1660.694693
-182.617304,300,1663.116243
-179.061667,300,1665.377661
-81.874004,300,1666.720166
-201.378934,300,1669.510778
-156.986608,300,1671.8751
-171.770429,300,1674.196783
-142.357217,300,1676.035836
-169.448709,300,1678.574479
-141.788346,300,1680.973106
-147.272346,300,1682.91025
-173.582184,300,1685.013485
-151.672042,300,1687.412917
-177.607642,300,1689.676785
-145.772654,300,1691.848366
-88.003958,300,1693.175982
-148.909142,300,1695.410323
-108.207529,300,1697.261919
-186.56098,300,1700.283405
-144.765538,300,1702.951084
-114.916609,300,1704.659734
-96.739275,300,1706.409721
-140.495417,300,1708.490225
-123.300988,300,1710.306698
-163.726079,300,1712.65065
-99.332217,300,1714.252989
-101.058517,300,1716.158906
-164.212013,300,1718.539006
-96.987375,300,1720.189566
-173.860359,300,1722.608544
