model,training_seed,steps,episodes_path,cases,avg_waiting_time_fixed,avg_waiting_time_dqn,avg_waiting_time_delta,avg_queue_fixed,avg_queue_dqn,avg_queue_delta,throughput_fixed,throughput_dqn,throughput_delta,max_waiting_time_fixed,max_waiting_time_dqn,max_waiting_time_delta,phase_changes_fixed,phase_changes_dqn,phase_changes_delta,forced_changes_fixed,forced_changes_dqn,forced_changes_delta,not_inserted_fixed,not_inserted_dqn,not_inserted_delta,waiting_improvement_pct,queue_improvement_pct,throughput_change_pct,waiting_case_win_rate,all_primary_better
switch_s11/models/dqn_200000.zip,11,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s11__models__dqn_200000\episodes.csv,30,19.540478536657037,22.576127350807997,3.03564881415096,16.32166666666667,19.00738888888889,2.6857222222222212,173.26666666666668,145.16666666666666,-28.100000000000023,94.05,116.98333333333333,22.933333333333337,33.0,40.86666666666667,7.866666666666667,0.0,6.633333333333334,6.633333333333334,2.433333333333333,1.4333333333333333,-0.9999999999999998,-15.53518153844709,-16.454950815208136,-16.217776067718365,0.3,False
switch_s11/models/dqn_100000.zip,11,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s11__models__dqn_100000\episodes.csv,30,19.540478536657037,23.680136616554517,4.13965807989748,16.32166666666667,19.26444444444445,2.9427777777777813,173.26666666666668,153.33333333333334,-19.933333333333337,94.05,104.46666666666667,10.416666666666671,33.0,32.9,-0.10000000000000142,0.0,8.5,8.5,2.433333333333333,0.03333333333333333,-2.4,-21.18503941513854,-18.029885292215546,-11.504424778761063,0.26666666666666666,False
switch_s33/models/dqn_200000.zip,33,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s33__models__dqn_200000\episodes.csv,30,19.540478536657037,23.913873337019876,4.3733948003628385,16.32166666666667,20.020499999999995,3.698833333333326,173.26666666666668,140.46666666666667,-32.80000000000001,94.05,99.7,5.650000000000006,33.0,43.266666666666666,10.266666666666666,0.0,3.033333333333333,3.033333333333333,2.433333333333333,0.23333333333333334,-2.1999999999999997,-22.38120623381127,-22.662105585622335,-18.930357829934593,0.26666666666666666,False
switch_s22/models/dqn_200000.zip,22,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s22__models__dqn_200000\episodes.csv,30,19.540478536657037,24.45311663434988,4.912638097692842,16.32166666666667,20.359833333333334,4.038166666666665,173.26666666666668,139.8,-33.46666666666667,94.05,99.16666666666667,5.116666666666674,33.0,44.1,11.100000000000001,0.0,5.3,5.3,2.433333333333333,1.3666666666666667,-1.0666666666666664,-25.140827991888525,-24.74114163177779,-19.315121200461718,0.23333333333333334,False
switch_s11/models/dqn_50000.zip,11,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s11__models__dqn_50000\episodes.csv,30,19.540478536657037,25.38264684330819,5.842168306651153,16.32166666666667,21.002388888888888,4.680722222222219,173.26666666666668,131.4,-41.866666666666674,94.05,131.95,37.89999999999999,33.0,53.233333333333334,20.233333333333334,0.0,1.0666666666666667,1.0666666666666667,2.433333333333333,2.8,0.3666666666666667,-29.89777499917167,-28.677967255522624,-24.163139669103508,0.06666666666666667,False
switch_s33/models/dqn_100000.zip,33,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s33__models__dqn_100000\episodes.csv,30,19.540478536657037,26.03955404451524,6.499075507858201,16.32166666666667,21.012055555555555,4.6903888888888865,173.26666666666668,141.03333333333333,-32.23333333333335,94.05,86.26666666666667,-7.783333333333331,33.0,42.9,9.899999999999999,0.0,3.8,3.8,2.433333333333333,1.2666666666666666,-1.1666666666666665,-33.2595514263698,-28.737193233261834,-18.60330896498654,0.13333333333333333,False
switch_s33/models/dqn_50000.zip,33,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s33__models__dqn_50000\episodes.csv,30,19.540478536657037,27.371291871512735,7.830813334855698,16.32166666666667,21.755888888888887,5.434222222222218,173.26666666666668,127.93333333333334,-45.33333333333334,94.05,111.73333333333333,17.683333333333337,33.0,48.833333333333336,15.833333333333336,0.0,1.8666666666666667,1.8666666666666667,2.433333333333333,1.4666666666666666,-0.9666666666666666,-40.0748288746637,-33.29453010653865,-26.163909195844557,0.03333333333333333,False
switch_s22/models/dqn_50000.zip,22,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s22__models__dqn_50000\episodes.csv,30,19.540478536657037,27.758419023304022,8.217940486646985,16.32166666666667,22.431111111111115,6.109444444444446,173.26666666666668,135.1,-38.166666666666686,94.05,157.18333333333334,63.13333333333334,33.0,48.63333333333333,15.633333333333333,0.0,6.066666666666666,6.066666666666666,2.433333333333333,2.9,0.4666666666666668,-42.055983794002316,-37.43149868954015,-22.027702962677964,0.03333333333333333,False
switch_s22/models/dqn_20000.zip,22,20000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s22__models__dqn_20000\episodes.csv,30,19.540478536657037,31.529592431006897,11.98911389434986,16.32166666666667,24.807388888888887,8.485722222222218,173.26666666666668,125.73333333333333,-47.533333333333346,94.05,176.63333333333333,82.58333333333333,33.0,59.733333333333334,26.733333333333334,0.0,6.3,6.3,2.433333333333333,3.6333333333333333,1.2000000000000002,-61.35527270664756,-51.990537458728994,-27.433628318584077,0.06666666666666667,False
switch_s22/models/dqn_100000.zip,22,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_switch\switch_s22__models__dqn_100000\episodes.csv,30,19.540478536657037,31.91256039243502,12.372081855777981,16.32166666666667,24.708888888888886,8.387222222222217,173.26666666666668,141.93333333333334,-31.333333333333343,94.05,133.86666666666667,39.81666666666668,33.0,37.8,4.799999999999997,0.0,7.2,7.2,2.433333333333333,1.7666666666666666,-0.6666666666666665,-63.31514262851099,-51.38704516831747,-18.08387841477492,0.0,False
